DOI,Author
10.2307/4331939,517
10.2307/4331398,234
10.2307/4331399,92
10.2307/4331482,763
10.2307/4331640,331
10.2307/4331641,59
10.2307/4331642,325
10.2307/4331643,386
10.2307/4331644,229
10.2307/4331645,291
10.2307/4331646,414
10.2307/4331647,448
10.2307/4331648,272
10.2307/4331649,662
10.2307/4331002,298
10.2307/4331003,796
10.2307/4330603,652
10.2307/4330602,11
10.2307/4330601,124
10.2307/4330607,636
10.2307/4330606,805
10.2307/4330605,494
10.2307/4330604,124
10.2307/4330609,768
10.2307/4330609,324
10.2307/4330608,487
10.1007/s10739-014-9390-3,223
10.2307/4330849,588
10.2307/4330848,588
10.2307/40801951,156
10.2307/40801953,267
10.2307/40801952,243
10.2307/4330845,161
10.2307/40801954,10
10.2307/40801954,60
10.2307/40801956,763
10.1007/s10739-012-9349-1,783
10.1007/s10739-014-9394-z,480
10.2307/4332025,506
10.2307/4332024,221
10.2307/4332026,590
10.2307/4332021,837
10.2307/4332020,243
10.2307/4332023,234
10.2307/4332022,166
10.2307/4332029,208
10.1007/s10739-013-9371-y,753
10.1007/s10739-013-9353-0,789
10.2307/4330549,332
10.2307/4331095,785
10.2307/4331094,200
10.1007/s10739-012-9345-5,221
10.2307/4331096,441
10.2307/4331091,11
10.2307/4331093,459
10.2307/4331092,11
10.2307/4331099,812
10.2307/4331098,544
10.2307/4331255,21
10.2307/4331706,391
10.2307/4331253,796
10.2307/4331700,123
10.2307/4331251,84
10.2307/4331702,165
10.2307/4331709,19
10.2307/4331708,386
10.2307/4331259,564
10.2307/4331259,304
10.2307/4331258,751
10.1007/s10739-013-9359-7,810
10.2307/4331899,193
10.2307/4331898,726
10.2307/4331897,687
10.2307/4331896,124
10.2307/4331891,512
10.2307/4331890,234
10.2307/4331892,295
10.1007/s10739-015-9409-4,814
10.1007/s10739-013-9355-y,334
10.2307/4331411,184
10.2307/4331410,365
10.2307/4331413,234
10.2307/4331412,3
10.2307/4331414,699
10.2307/4331417,338
10.2307/4331419,804
10.2307/4331418,134
10.2307/4331678,493
10.2307/4331675,494
10.2307/4331674,169
10.2307/4331677,56
10.2307/4331676,551
10.2307/4331671,368
10.2307/4331670,473
10.2307/4331673,192
10.2307/4331672,525
10.2307/40271518,213
10.2307/40271519,90
10.2307/4331079,58
10.2307/4331078,71
10.2307/4331075,363
10.2307/4331074,288
10.2307/4331073,85
10.2307/4331072,751
10.2307/4331071,71
10.2307/40271517,116
10.1007/s10739-012-9342-8,87
10.2307/4330676,71
10.2307/4330893,125
10.2307/4330890,710
10.2307/4330891,274
10.2307/4330614,410
10.2307/4330615,546
10.2307/4330616,663
10.2307/4330617,615
10.2307/4330618,440
10.2307/4330619,172
10.2307/4330619,111
10.2307/4330619,324
10.1007/s10739-013-9370-z,774
10.2307/4330507,124
10.2307/4330897,796
10.1007/s10739-012-9327-7,420
10.2307/4330670,485
10.2307/4330671,99
10.2307/4330856,703
10.2307/4330857,400
10.2307/4330855,33
10.2307/4330852,212
10.2307/4330850,588
10.2307/4330851,588
10.2307/4330951,161
10.2307/4330950,85
10.2307/41488439,763
10.2307/4330773,465
10.2307/4330770,569
10.2307/29737558,562
10.2307/29737552,395
10.2307/29737553,7
10.2307/29737550,108
10.2307/29737551,509
10.2307/29737556,141
10.2307/29737557,49
10.2307/29737557,637
10.2307/29737554,221
10.2307/29737555,737
10.2307/4331741,142
10.2307/4331740,838
10.2307/4331011,533
10.2307/4331743,243
10.2307/4332032,229
10.2307/4332033,200
10.2307/4332030,529
10.2307/4332031,68
10.2307/41488388,55
10.2307/41488388,798
10.2307/4332034,65
10.2307/4331745,77
10.2307/4331296,26
10.2307/4331747,464
10.2307/4331746,90
10.2307/41488386,246
10.2307/41488386,583
10.2307/41488387,406
10.2307/41488385,700
10.2307/41488385,102
10.2307/41488430,721
10.2307/41488431,70
10.2307/41488432,787
10.2307/41488433,505
10.2307/41488434,562
10.2307/41488435,654
10.2307/41488436,65
10.2307/41488389,18
10.2307/4330872,588
10.2307/4330873,194
10.1007/s10739-013-9357-9,547
10.1007/s10739-014-9378-z,121
10.2307/42628803,221
10.2307/42628806,87
10.2307/42628807,755
10.2307/42628804,666
10.2307/42628805,225
10.2307/42628808,223
10.2307/42628809,537
10.2307/4331990,188
10.2307/25650625,280
10.2307/25650626,782
10.2307/25650626,39
10.2307/4331993,223
10.2307/4331082,180
10.2307/4331083,313
10.2307/4331080,85
10.2307/4331081,530
10.2307/4331086,703
10.2307/4331087,703
10.2307/4331084,751
10.2307/4331085,751
10.2307/4331088,703
10.2307/4331712,688
10.2307/4331713,313
10.2307/4331710,105
10.2307/4331247,282
10.2307/4331717,498
10.2307/4331242,291
10.2307/4331243,222
10.2307/4331718,234
10.2307/4331719,555
10.2307/4331248,124
10.2307/4331249,184
10.1007/s10739-014-9389-9,169
10.2307/4331888,207
10.2307/4331889,338
10.2307/4331882,591
10.2307/4331883,709
10.2307/4331880,43
10.2307/4331881,589
10.2307/4331886,252
10.2307/4331887,57
10.2307/4331884,502
10.2307/4331885,264
10.2307/4331930,494
10.2307/4331408,123
10.2307/4331409,477
10.2307/4331406,409
10.2307/4331407,58
10.2307/4331404,169
10.2307/4331405,381
10.2307/4331402,409
10.2307/4331402,169
10.2307/4331403,21
10.1007/s10739-012-9343-7,755
