,DOI,Topic,Weight
331,10.1007/s10739-015-9401-z,158,0.0813929870129
332,10.1007/s10739-015-9401-z,159,0.0184432582974
333,10.1007/s10739-015-9401-z,161,0.0330134491229
334,10.1007/s10739-015-9401-z,177,0.00915708999916
335,10.1007/s10739-015-9401-z,178,0.0172799832876
336,10.1007/s10739-015-9401-z,179,0.0384542062156
337,10.1007/s10739-015-9401-z,181,0.00247319233102
338,10.1007/s10739-015-9401-z,182,0.00349234925418
339,10.1007/s10739-015-9401-z,193,0.0417468790637
340,10.1007/s10739-015-9401-z,197,0.00308300795824
341,10.2307/4331619,28,0.053760698902
342,10.2307/4331619,32,0.101616958088
343,10.2307/4331619,33,0.0405582094436
344,10.2307/4331619,51,0.0744271707103
345,10.2307/4331619,57,0.326305592587
346,10.2307/4331619,69,0.0284246074165
347,10.2307/4331619,78,0.114540992057
348,10.2307/4331619,127,0.0200693436257
349,10.2307/4331619,131,0.0203296760554
350,10.2307/4331619,158,0.0768851374037
351,10.2307/4331619,177,0.0217403963839
352,10.2307/4331619,192,0.0840483835602
353,10.2307/4331619,193,0.0372928337662
354,10.2307/41488458,57,0.24279057664
355,10.2307/41488458,61,0.0355438206401
356,10.2307/41488458,83,0.0418577708587
357,10.2307/41488458,147,0.273546776637
358,10.2307/41488458,159,0.0547271854194
359,10.2307/41488458,161,0.0380808528056
360,10.2307/41488458,163,0.0710622709587
361,10.2307/41488458,179,0.135810024764
362,10.2307/41488458,185,0.106580721277
363,10.2307/41488459,31,0.0485128893577
364,10.2307/41488459,57,0.403217278505
365,10.2307/41488459,77,0.0935284183832
366,10.2307/41488459,161,0.13948221487
367,10.2307/41488459,166,0.192922839654
368,10.2307/41488459,181,0.122336359229
369,10.2307/41488452,5,0.0056096976017
370,10.2307/41488452,8,0.0064158570551
371,10.2307/41488452,9,0.0034882560525
372,10.2307/41488452,10,0.00237264639988
373,10.2307/41488452,23,0.00205854209132
374,10.2307/41488452,25,0.0039364735265
375,10.2307/41488452,26,0.00864962328956
376,10.2307/41488452,34,0.00244016531808
377,10.2307/41488452,36,0.00165081153217
378,10.2307/41488452,47,0.022350767238
379,10.2307/41488452,48,0.00254485553213
380,10.2307/41488452,51,0.00188713975232
381,10.2307/41488452,53,0.00737266290949
382,10.2307/41488452,57,0.00191798329239
383,10.2307/41488452,64,0.0764191547119
384,10.2307/41488452,67,0.0720172628918
385,10.2307/41488452,73,0.00160648819941
386,10.2307/41488452,76,0.0132139372194
387,10.2307/41488452,77,0.00255734342502
388,10.2307/41488452,78,0.00925964765675
389,10.2307/41488452,79,0.00213971546492
390,10.2307/41488452,88,0.00343801000673
391,10.2307/41488452,90,0.0072342435468
392,10.2307/41488452,98,0.387602243459
393,10.2307/41488452,101,0.0195670986292
394,10.2307/41488452,107,0.00877753977177
395,10.2307/41488452,108,0.00571638681533
396,10.2307/41488452,111,0.00531518653222
397,10.2307/41488452,114,0.00316300162969
398,10.2307/41488452,119,0.00472547503589
399,10.2307/41488452,120,0.00404854874964
400,10.2307/41488452,124,0.00727667291809
401,10.2307/41488452,134,0.0574800739283
402,10.2307/41488452,136,0.00249429187707
403,10.2307/41488452,137,0.00855470717412
404,10.2307/41488452,141,0.00481819057412
405,10.2307/41488452,142,0.00402263935759
406,10.2307/41488452,149,0.00203488244703
407,10.2307/41488452,158,0.118758180402
408,10.2307/41488452,159,0.00166355353334
409,10.2307/41488452,161,0.00856365545584
410,10.2307/41488452,170,0.00198320180948
411,10.2307/41488452,174,0.00166211704828
412,10.2307/41488452,179,0.00865406278803
413,10.2307/41488452,185,0.00590546701282
414,10.2307/41488452,186,0.00208538118928
415,10.2307/41488452,187,0.00341167011761
416,10.2307/41488452,192,0.00413765246332
417,10.2307/41488452,193,0.0569968345673
418,10.2307/41488453,2,0.00240674584528
419,10.2307/41488453,15,0.00352914563989
420,10.2307/41488453,16,0.00411672020954
421,10.2307/41488453,21,0.0100571394335
422,10.2307/41488453,23,0.00439705428817
423,10.2307/41488453,24,0.034704404693
424,10.2307/41488453,25,0.0110405266227
425,10.2307/41488453,28,0.00503149263051
426,10.2307/41488453,47,0.0143637291637
427,10.2307/41488453,48,0.0165733362314
428,10.2307/41488453,53,0.0291853405679
429,10.2307/41488453,55,0.00341075765829
430,10.2307/41488453,57,0.00301463792451
431,10.2307/41488453,63,0.0830490581369
432,10.2307/41488453,64,0.0141718498957
433,10.2307/41488453,77,0.00852593906853
434,10.2307/41488453,78,0.0041455823552
435,10.2307/41488453,83,0.00608235026045
436,10.2307/41488453,85,0.0218438924831
437,10.2307/41488453,94,0.0221261857496
438,10.2307/41488453,101,0.0564826410977
439,10.2307/41488453,107,0.00208606018968
440,10.2307/41488453,108,0.00500562358726
441,10.2307/41488453,111,0.0041875247621
442,10.2307/41488453,123,0.00193653599875
443,10.2307/41488453,124,0.00207447096641
444,10.2307/41488453,125,0.00204046324565
445,10.2307/41488453,134,0.0378200424548
446,10.2307/41488453,142,0.0317345888513
447,10.2307/41488453,145,0.00242026688936
448,10.2307/41488453,150,0.327024572885
449,10.2307/41488453,158,0.0263093493552
450,10.2307/41488453,161,0.0272700795
451,10.2307/41488453,167,0.00777464062856
452,10.2307/41488453,170,0.00542196846069
453,10.2307/41488453,176,0.00145280510814
454,10.2307/41488453,177,0.00558502998276
455,10.2307/41488453,178,0.0150336876529
456,10.2307/41488453,179,0.0655328248879
457,10.2307/41488453,182,0.00796163173751
458,10.2307/41488453,185,0.00370525378832
459,10.2307/41488453,186,0.0317269314566
460,10.2307/41488453,192,0.0276371176553
461,10.2307/41488451,6,0.00287326845915
462,10.2307/41488451,15,0.00446594429516
463,10.2307/41488451,28,0.0020652966999
464,10.2307/41488451,31,0.046285585846
465,10.2307/41488451,35,0.00244985356571
466,10.2307/41488451,47,0.00648334911601
467,10.2307/41488451,48,0.00732310271058
468,10.2307/41488451,53,0.0331658672444
469,10.2307/41488451,57,0.0112211860658
470,10.2307/41488451,67,0.0109423147857
471,10.2307/41488451,69,0.00673927894457
472,10.2307/41488451,77,0.089504161137
473,10.2307/41488451,78,0.0587475647855
474,10.2307/41488451,80,0.0229096356249
475,10.2307/41488451,81,0.00400145732513
476,10.2307/41488451,95,0.46706292951
477,10.2307/41488451,107,0.0032387900593
478,10.2307/41488451,111,0.0133298489739
479,10.2307/41488451,124,0.00598425859686
480,10.2307/41488451,158,0.051248216336
481,10.2307/41488451,162,0.00236903591107
482,10.2307/41488451,163,0.00668759391212
483,10.2307/41488451,177,0.013294017137
484,10.2307/41488451,179,0.00879370419274
485,10.2307/41488451,185,0.0890140944564
486,10.2307/41488451,192,0.00709744246401
487,10.2307/41488451,193,0.022702201845
488,10.2307/41488456,8,0.0182896048474
489,10.2307/41488456,20,0.0193770686736
490,10.2307/41488456,25,0.0732807561861
491,10.2307/41488456,27,0.170194161208
492,10.2307/41488456,51,0.0299146462188
493,10.2307/41488456,53,0.0157520046634
494,10.2307/41488456,57,0.36440167039
495,10.2307/41488456,59,0.0220465120213
496,10.2307/41488456,77,0.090190276451
497,10.2307/41488456,116,0.0220465120213
498,10.2307/41488456,124,0.0930671524277
499,10.2307/41488456,161,0.0380395244999
500,10.2307/41488456,168,0.0167667401641
501,10.2307/41488456,179,0.0266333702271
502,10.2307/41488457,5,0.0167464810688
503,10.2307/41488457,25,0.0425209150551
504,10.2307/41488457,48,0.0159785211381
505,10.2307/41488457,53,0.0372124362719
506,10.2307/41488457,57,0.278913733078
507,10.2307/41488457,64,0.0812345247816
508,10.2307/41488457,76,0.0142685928314
509,10.2307/41488457,89,0.0379889695203
510,10.2307/41488457,90,0.189709924192
511,10.2307/41488457,122,0.021765406464
512,10.2307/41488457,158,0.0691320450498
513,10.2307/41488457,161,0.0334762323863
514,10.2307/41488457,163,0.0254948541039
515,10.2307/41488457,177,0.0181564927854
516,10.2307/41488457,180,0.0849887453227
517,10.2307/41488457,187,0.0324121259504
518,10.2307/41488454,6,0.00471852079818
519,10.2307/41488454,15,0.0221378275261
520,10.2307/41488454,19,0.00270028569047
521,10.2307/41488454,25,0.0126102783259
522,10.2307/41488454,33,0.00411495915593
523,10.2307/41488454,34,0.00337433876351
524,10.2307/41488454,35,0.0049811538824
525,10.2307/41488454,36,0.004151324663
526,10.2307/41488454,46,0.00475230210005
527,10.2307/41488454,47,0.0101529032997
528,10.2307/41488454,50,0.0025879169767
529,10.2307/41488454,51,0.00332626704139
530,10.2307/41488454,53,0.0547589395968
531,10.2307/41488454,58,0.00313348660338
