DOI,AboutLocation,AuthorLocation
10.2307/4331130,6269131,5224151
10.2307/4331131,-1,5224151
10.2307/4331137,2921044,-1
10.2307/4331134,2921044,-1
10.2307/4331918,6269131,-1
10.2307/4331918,2921044,-1
10.2307/4331919,6269131,4347778
10.2307/4331910,6252001,-1
10.2307/4331911,6252001,-1
10.2307/4331912,6252001,-1
10.2307/4331913,6252001,-1
10.2307/4331916,6269131,4174715
10.2307/4331917,6269131,2655984
10.2307/4330719,2510769,-1
10.2307/4330718,6269131,-1
10.2307/4330715,6252001,5368361
10.2307/4330714,390903,4297983
10.2307/4330717,6269131,-1
10.2307/4330711,6269131,2655603
10.2307/4330710,6252001,6167865
10.2307/4330713,6252001,5261457
10.2307/4330713,2921044,5261457
10.2307/4330713,6269131,5261457
10.2307/4330712,-1,5128581
10.2307/4331627,6252001,-1
10.2307/4331625,-1,-1
10.2307/4331622,5843591,-1
10.2307/4331620,6269131,-1
10.2307/4331621,6252001,-1
10.2307/4331628,-1,-1
10.2307/4331629,2921044,-1
10.2307/4330669,390903,5109177
10.2307/4330668,6269131,6167865
10.2307/4330887,2643743,-1
10.2307/4330881,6269131,2172517
10.2307/4330880,390903,5263045
10.2307/4330883,6252001,-1
10.2307/4330882,-1,4407066
10.2307/4330663,3017382,-1
10.2307/4330663,6252001,-1
10.2307/4330663,6269131,-1
10.2307/4330667,6269131,6183235
10.2307/4330666,6269131,4843786
10.2307/4330868,3017382,-1
10.2307/4330866,2510769,4562144
10.2307/4330865,6269131,2171507
10.2307/4330865,2750405,2171507
10.2307/4330864,390903,2792413
10.2307/4330863,6269131,2643743
10.2307/4330862,-1,3530597
10.2307/4330861,-1,6077243
10.2307/29737501,6269131,-1
10.2307/29737501,2017370,-1
10.2307/29737500,6269131,5746545
10.2307/29737503,6269131,-1
10.2307/29737503,1269750,-1
10.2307/29737502,-1,-1
10.2307/29737505,6252001,-1
10.2307/29737505,3469034,-1
10.2307/29737504,3017382,-1
10.2307/29737507,6252001,-1
10.2307/29737506,-1,-1
10.2307/29737509,6269131,-1
10.2307/29737508,-1,-1
10.2307/4331072,6252001,-1
10.2307/4332009,2017370,-1
10.2307/4332008,6252001,-1
10.2307/4331071,6269131,-1
10.2307/4332001,6252001,-1
10.2307/4331070,6269131,2643123
10.2307/4332007,6252001,-1
10.2307/4332006,6252001,-1
10.2307/4332005,-1,-1
10.2307/4332004,-1,-1
10.2307/41653588,5332921,-1
10.2307/41653589,5417618,5318313
10.2307/4330522,6252001,4347778
10.2307/4330523,2638236,4381982
10.2307/4330520,6269131,4991640
10.2307/4330521,-1,2657832
10.2307/4330526,2017370,-1
10.2307/4330527,-1,-1
10.2307/4330524,-1,5206379
10.2307/41653567,2017370,5128581
10.2307/41653567,2017370,6167865
10.2307/41653568,6252001,4560349
10.2307/41653569,6252001,5368361
10.2307/41653569,2017370,5368361
10.2307/4330529,390903,-1
10.2307/4331728,-1,-1
10.2307/4331723,2921044,-1
10.2307/4331722,2782113,-1
10.2307/4331721,5879092,-1
10.2307/4331720,6252001,-1
10.2307/4331720,6251999,-1
10.2307/4331720,2077456,-1
10.2307/4331720,2186224,-1
10.2307/4331726,-1,-1
10.2307/4331724,3077311,-1
10.2307/4330525,6252001,4931972
10.2307/4330975,6252001,4347778
10.2307/4330974,-1,5122432
10.2307/4331437,6252001,5045360
10.2307/4331437,6252001,4543762
10.2307/4331436,6269131,-1
10.2307/4331435,6252001,-1
10.2307/4331926,6269131,-1
10.2307/4331921,6269131,5206379
10.2307/4331432,2017370,5391959
10.2307/4331432,2921044,5391959
10.2307/4331923,-1,5391959
10.2307/4331430,6269131,2643743
10.2307/4331430,1269750,2643743
10.2307/4331381,-1,-1
10.2307/4331380,6252001,-1
10.2307/4331382,3017382,-1
10.2307/4331382,2661886,-1
10.2307/4331929,2751773,-1
10.2307/4331929,2650225,-1
10.2307/4331929,6252001,-1
10.2307/4331384,-1,-1
10.2307/4331439,3017381,-1
10.2307/4331439,2921044,-1
10.2307/4331439,6269131,-1
10.2307/4331438,2921044,-1
10.2307/4331438,2017370,-1
10.2307/4331442,2921044,-1
10.2307/4331442,453733,-1
10.2307/4331440,3017382,-1
10.2307/4331441,-1,-1
10.2307/4331330,2077456,-1
10.2307/4331331,2077456,4931972
10.2307/4330701,-1,-1
10.2307/4330706,3017382,-1
10.2307/4330704,-1,-1
10.2307/4330978,6252001,5139865
10.2307/4330978,6269131,5139865
10.2307/4331653,2750405,-1
10.2307/4331653,2802361,-1
10.2307/4331652,2921044,-1
10.2307/4331651,3017382,-1
10.2307/4331651,6269131,-1
10.2307/4331650,2921044,-1
10.2307/4331650,2017370,-1
10.2307/4331655,-1,-1
10.2307/4331654,6252001,-1
10.2307/4331925,6269131,-1
10.2307/4331925,6252001,-1
10.2307/4330892,2750405,5574991
10.2307/4330893,-1,-1
10.2307/4330890,6269131,2643743
10.2307/4330891,6269131,-1
10.2307/4330896,-1,-1
10.2307/4330894,6269131,5128581
10.2307/4330895,2802361,4931972
10.2307/4330898,-1,-1
10.2307/4330899,2661886,-1
10.2307/4330678,3077311,4931972
10.2307/4330679,6269131,-1
10.2307/40801946,3017382,2988507
10.2307/40801947,2921044,5261457
10.2307/4330878,6269131,2643743
10.2307/4330879,3017382,4931972
10.2307/4330874,-1,-1
10.2307/4330877,2921044,-1
10.2307/4330870,2988507,-1
10.2307/4330871,6269131,-1
10.2307/40801948,6269131,4887398
10.2307/4330873,-1,-1
10.2307/4332018,2017370,4839366
10.2307/4332019,6269131,-1
10.2307/4332013,-1,2643123
10.2307/4332014,6252001,45600349
10.2307/4332015,3017382,2988507
10.2307/4332016,2921044,2867714
10.2307/4332017,6252001,-1
10.2307/4332017,3996063,-1
10.2307/4331792,6269131,-1
10.2307/4331793,3017382,-1
10.2307/4331538,6252001,-1
10.2307/4331539,6252001,-1
10.2307/41653591,5332921,5392952
10.2307/41653590,6252001,5045360
10.2307/41653593,2921044,-1
10.2307/41653573,1814991,4407066
10.2307/41653572,798544,5128581
10.2307/41653571,3175395,3169070
10.2307/41653570,6252001,5102922
10.2307/4330559,-1,6167865
10.2307/41653575,-1,-1
10.2307/41653574,-1,293788
10.2307/4331738,6252001,-1
10.2307/4331739,2921044,-1
10.2307/4331924,6269131,4891382
10.2307/4331732,5113375,2643743
10.2307/4331733,-1,2895044
10.2307/4331734,6269131,5206379
10.2307/4331735,2921044,-1
10.2307/4331736,-1,4469146
10.2307/4331737,6252001,4835654
10.2307/4331434,6252001,5327684
10.2307/4331433,2921044,-1
10.2307/4331920,3017382,2988507
10.2307/4331920,2921044,2988507
10.2307/4331920,3175395,2988507
10.2307/4331431,3017382,-1
10.2307/4331922,-1,2644688
10.2307/4331385,-1,-1
10.2307/4331932,3017382,-1
10.2307/4331933,6269131,-1
10.2307/4331930,6252001,-1
10.2307/4331427,-1,-1
10.2307/4331936,6269131,-1
10.2307/4331936,1814991,-1
10.2307/4331937,1269750,-1
10.2307/4331422,6252001,4929022
10.2307/4331423,3175395,-1
10.2307/4331398,6252001,-1
10.2307/4331399,3017382,-1
10.2307/4331640,6252001,-1
10.2307/4331641,-1,-1
10.2307/4331642,2750405,-1
10.2307/4331643,6269131,-1
10.2307/4331643,2921044,-1
10.2307/4331644,2921044,-1
10.2307/4331645,6269131,-1
10.2307/4331646,3175395,-1
10.2307/4331646,3017382,-1
10.2307/4331646,2921044,-1
10.2307/4331647,6269131,-1
10.2307/4331648,1643084,-1
10.2307/4331002,6269131,-1
10.2307/4330603,6252001,5139865
10.2307/4330602,2623032,4254679
10.2307/4330601,-1,4407066
10.2307/4330607,-1,5206379
10.2307/4330606,6252001,5139865
10.2307/4330605,-1,-1
10.2307/4330604,2921044,5327684
10.2307/4330609,6252001,4914570
10.2307/4330608,6269131,5122432
10.2307/4330849,3017382,-1
10.2307/4330848,-1,-1
10.2307/40801951,4560349,-1
10.2307/40801950,2077456,360603
10.2307/4330843,2638360,2643743
10.2307/40801952,6252001,-1
10.2307/40801955,6269131,-1
10.2307/40801954,-1,-1
10.2307/4330847,3017382,-1
10.2307/40801956,-1,-1
10.2307/4332025,2921044,-1
10.2307/4332024,2921044,-1
10.2307/4332024,3017382,-1
10.2307/4332026,4566966,-1
10.2307/4332026,6252001,-1
10.2307/4332021,6252001,-1
10.2307/4332021,3175395,-1
10.2307/4332023,6254926,-1
10.2307/4332022,-1,-1
10.2307/4332029,390903,-1
10.2307/4330548,-1,5261457
10.2307/4330549,2921044,4839822
10.2307/4331095,6269131,5323777
10.2307/4331094,2921044,2653941
10.2307/4331097,6269131,8596797
10.2307/4331096,-1,-1
10.2307/4331091,-1,-1
10.2307/4331093,-1,4254679
10.2307/4331092,2921044,4254679
10.2307/4331099,6269131,-1
10.2307/4331098,-1,-1
10.2307/4331705,2921044,2950159
10.2307/4331707,6252001,5809844
10.2307/4331254,390903,-1
10.2307/4331701,6252001,-1
10.2307/4331252,-1,-1
10.2307/4331251,-1,-1
10.2307/4331250,6269131,-1
10.2307/4331709,2510769,3117735
10.2307/4331708,2921044,3175121
10.2307/4331259,5332921,5341704
10.2307/4331258,-1,5317058
10.2307/4331899,5332921,5368361
10.2307/4331898,6269131,5317058
10.2307/4331897,3017382,-1
10.2307/4331896,2921044,4407066
10.2307/4331891,2661886,-1
10.2307/4331892,2921044,-1
10.2307/4331411,6269131,-1
10.2307/4331410,-1,-1
10.2307/4331413,6252001,-1
10.2307/4331412,6252001,-1
10.2307/4331414,6252001,-1
10.2307/4331417,-1,2988507
10.2307/4331419,390903,4140963
10.2307/4331418,2661886,4931972
10.2307/4331675,-1,-1
10.2307/4331674,6269131,-1
10.2307/4331677,3175395,-1
10.2307/4331670,3017382,-1
10.2307/4331673,6252001,-1
10.2307/4331672,3017382,-1
10.2307/40271518,-1,5780993
10.2307/40271519,6269131,-1
10.2307/4331079,6252001,4887398
10.2307/4331078,6269131,4954380
10.2307/4331075,6252001,-1
10.2307/4331073,6269131,-1
10.2307/40271515,6252001,5102922
10.2307/40271516,2750405,2745912
10.2307/40271517,2750405,2751773
10.2307/4330676,6269131,4954380
10.2307/4330677,6269131,5072006
10.2307/4330613,6269131,5128581
10.2307/4330614,6269131,4347778
10.2307/4330615,6269131,5969782
10.2307/4330616,3017382,5969423
10.2307/4330617,6269131,5128581
10.2307/4330618,2921044,4887398
10.2307/4330619,-1,-1
10.2307/4330670,6269131,4351977
10.2307/4330671,6269131,4560349
10.2307/4330856,2510769,4562144
10.2307/4330857,6252001,5258393
10.2307/4330855,2750405,5574991
10.2307/4330852,390903,-1
10.2307/4330951,2921044,-1
10.2307/4330773,6269131,6058560
10.2307/4330954,1814991,-1
10.2307/29737552,2921044,-1
10.2307/29737552,6269131,-1
10.2307/29737553,6269131,-1
10.2307/29737550,3017382,5341704
10.2307/29737551,-1,2655984
10.2307/29737556,6252001,-1
10.2307/29737557,5744337,-1
10.2307/29737554,6269131,-1
10.2307/29737555,6252001,-1
10.2307/4332032,2782113,4254679
10.2307/4332033,2653941,4990729
10.2307/4332030,3017382,4508722
