DOI,Relation,GeoNamesID
10.2307/4331430,content,6269131
10.2307/4331430,author,2643743
10.2307/4331430,content,1269750
10.2307/4331430,author,2643743
10.2307/4331380,content,6252001
10.2307/4331382,content,3017382
10.2307/4331382,content,2661886
10.2307/4331929,content,2751773
10.2307/4331929,content,2650225
10.2307/4331929,content,6252001
10.2307/4331439,content,3017381
10.2307/4331439,content,2921044
10.2307/4331439,content,6269131
10.2307/4331438,content,2921044
10.2307/4331438,content,2017370
10.2307/4331442,content,2921044
10.2307/4331442,content,453733
10.2307/4331440,content,3017382
10.2307/4331330,content,2077456
10.2307/4331331,content,2077456
10.2307/4331331,author,4931972
10.2307/4330706,content,3017382
10.2307/4330978,content,6252001
10.2307/4330978,author,5139865
10.2307/4330978,content,6269131
10.2307/4330978,author,5139865
10.2307/4331653,content,2750405
10.2307/4331653,content,2802361
10.2307/4331652,content,2921044
10.2307/4331651,content,3017382
10.2307/4331651,content,6269131
10.2307/4331650,content,2921044
10.2307/4331650,content,2017370
10.2307/4331654,content,6252001
10.2307/4331925,content,6269131
10.2307/4331925,content,6252001
10.2307/4330892,content,2750405
10.2307/4330892,author,5574991
10.2307/4330890,content,6269131
10.2307/4330890,author,2643743
10.2307/4330891,content,6269131
10.2307/4330894,content,6269131
10.2307/4330894,author,5128581
10.2307/4330895,content,2802361
10.2307/4330895,author,4931972
10.2307/4330899,content,2661886
10.2307/4330678,content,3077311
10.2307/4330678,author,4931972
10.2307/4330679,content,6269131
10.2307/40801946,content,3017382
10.2307/40801946,author,2988507
10.2307/40801947,content,2921044
10.2307/40801947,author,5261457
10.2307/4330878,content,6269131
10.2307/4330878,author,2643743
10.2307/4330879,content,3017382
10.2307/4330879,author,4931972
10.2307/4330877,content,2921044
10.2307/4330870,content,2988507
10.2307/4330871,content,6269131
10.2307/40801948,content,6269131
10.2307/40801948,author,4887398
10.2307/4332018,content,2017370
10.2307/4332018,author,4839366
10.2307/4332019,content,6269131
10.2307/4332013,author,2643123
10.2307/4332014,content,6252001
10.2307/4332014,author,45600349
10.2307/4332015,content,3017382
10.2307/4332015,author,2988507
10.2307/4332016,content,2921044
10.2307/4332016,author,2867714
10.2307/4332017,content,6252001
10.2307/4332017,content,3996063
10.2307/4331792,content,6269131
10.2307/4331793,content,3017382
10.2307/4331538,content,6252001
10.2307/4331539,content,6252001
10.2307/41653591,content,5332921
10.2307/41653591,author,5392952
10.2307/41653590,content,6252001
10.2307/41653590,author,5045360
10.2307/41653593,content,2921044
10.2307/41653573,content,1814991
10.2307/41653573,author,4407066
10.2307/41653572,content,798544
10.2307/41653572,author,5128581
10.2307/41653571,content,3175395
10.2307/41653571,author,3169070
10.2307/41653570,content,6252001
10.2307/41653570,author,5102922
10.2307/4330559,author,6167865
10.2307/41653574,author,293788
10.2307/4331738,content,6252001
10.2307/4331739,content,2921044
10.2307/4331924,content,6269131
10.2307/4331924,author,4891382
10.2307/4331732,content,5113375
10.2307/4331732,author,2643743
10.2307/4331733,author,2895044
10.2307/4331734,content,6269131
10.2307/4331734,author,5206379
10.2307/4331735,content,2921044
10.2307/4331736,author,4469146
10.2307/4331737,content,6252001
10.2307/4331737,author,4835654
10.2307/4331434,content,6252001
10.2307/4331434,author,5327684
10.2307/4331433,content,2921044
10.2307/4331920,content,3017382
10.2307/4331920,author,2988507
10.2307/4331920,content,2921044
10.2307/4331920,author,2988507
10.2307/4331920,content,3175395
10.2307/4331920,author,2988507
10.2307/4331431,content,3017382
10.2307/4331922,author,2644688
10.2307/4331932,content,3017382
10.2307/4331933,content,6269131
10.2307/4331930,content,6252001
10.2307/4331936,content,6269131
