7370,Musca domestica
7373,Calliphora vicina
7398,Glossina pallidipes
7437,Megascolia flavifrons
7447,Vespa orientalis
7460,Apis mellifera
74635,Rosa canina
74790,Paramecium bursaria
74900,Allium schoenoprasum
74940,Oncorhynchus tshawytscha
7507,Mantis religiosa
75140,Corvus frugilegus
7539,Leptinotarsa decemlineata
756482,Hoplerythrinus unitaeniatus
75706,Salix babylonica
75943,Lactuca serriola
7603,Asterias forbesi
7641,Arbacia punctulata
7668,Strongylocentrotus purpuratus
76720,Martes pennanti
77113,Nuphar lutea
77151,Mustela nigripes
7740,Branchiostoma lanceolatum
7757,Petromyzon marinus
7769,Myxine glutinosa
7785,Discopyge ommata
7788,Torpedo marmorata
77912,Pinus densiflora
7797,Squalus acanthias
7812,Mustelus canis
7830,Scyliorhinus canicula
7852,Alopias vulpinus
78633,Pieris napi
7883,Lepidosiren paradoxa
78897,Lymantria monacha
7897,Latimeria chalumnae
79011,Scaptotrigona postica
79022,Thapsia garganica
7906,Acipenser ruthenus
7938,Anguilla rostrata
7943,Conger myriaster
7955,Danio rerio
7957,Carassius auratus
7962,Cyprinus carpio
79684,Microtus ochrogaster
79772,Verbena officinalis
7994,Astyanax mexicanus
8005,Electrophorus electricus
8010,Esox lucius
8017,Oncorhynchus gorbuscha
8022,Oncorhynchus mykiss
8023,Oncorhynchus nerka
8030,Salmo salar
80338,Spondias mombin
8038,Salvelinus fontinalis
8040,Salvelinus namaycush
8049,Gadus morhua
8056,Melanogrammus aeglefinus
8058,Merlangius merlangus
8060,Pollachius virens
8063,Merluccius merluccius
8066,Batrachoididae gen. sp.
8074,Lophius piscatorius
8078,Fundulus heteroclitus
8081,Poecilia reticulata
80836,Portunus pelagicus
81638,Brosme brosme
8164,Lateolabrax japonicus
8167,Perca flavescens
8168,Perca fluviatilis
82070,Drimia maritima
821,Bacteroides vulgatus
8233,Scombridae gen. sp.
82595,Biston betularia
82600,Cydia pomonella
8262,Pleuronectes platessa
8296,Ambystoma mexicanum
8313,Amphiuma tridactylum
8323,Triturus cristatus
8324,Lissotriton vulgaris
8355,Xenopus laevis
83587,Gardenia taitensis
8371,Litoria aurea
8384,Bufo bufo
8389,Anaxyrus americanus
83971,Hemisus marmoratus
8400,Rana catesbeiana
8401,Pelophylax esculentus
8407,Rana temporaria
8443,Alytes obstetricans
8467,Caretta caretta
84799,Dolichonyx oryzivorus
8496,Alligator mississippiensis
8501,Crocodylus niloticus
85232,Morus nigra
85432,Taenia pisiformis
85549,Artemia salina
8574,Boa constrictor
857570,Oncorhynchus mykiss gairdneri
87681,Eucalyptus regnans
8790,Dromaius novaehollandiae
8797,Rhea americana
8801,Struthio camelus
88029,Semnopithecus entellus
8839,Anas platyrhynchos
8843,Anser anser
88450,Microtus montanus
8846,Anser indicus
8847,Anser sp.
8855,Cairina moschata
8869,Cygnus olor
8895,Apus apus
8901,Nycticorax nycticorax
1192867,Chroicocephalus ridibundus
89252,Equus burchellii quagga
8928,Ciconia ciconia
8932,Columba livia
8957,Accipiter gentilis
8962,Aquila chrysaetos
9014,Colinus virginianus
9031,Gallus gallus
9049,Pavo cristatus
9103,Meleagris gallopavo
9117,Grus americana
179961,Peringia ulvae
9135,Serinus canaria
9157,Parus major
9172,Sturnus vulgaris
9187,Turdus merula
9209,Phalacrocorax carbo
9217,Phoenicopterus ruber
92176,Iris fulva
9258,Ornithorhynchus anatinus
9261,Tachyglossus aculeatus
9268,Didelphis marsupialis
9275,Thylacinus cynocephalus
93036,Poa annua
9319,Macropus robustus
9322,Macropus sp.
9339,Vombatidae gen. sp.
93608,Sinopodophyllum hexandrum
9375,Talpa europaea
9395,Tupaia glis
94188,Cryptoprocta ferox
94190,Genetta genetta
94247,Dipodomys merriami
94328,Zingiber officinale
94630,Semibalanus balanoides
9491,Saguinus imperator
980415,Lethenteron camtschaticum
9503,Alouatta seniculus
9505,Aotus trivirgatus
9511,Ateles sp.
9515,Sapajus apella
9534,Chlorocebus aethiops
9538,Erythrocebus patas
9542,Macaca fuscata
9544,Macaca mulatta
9546,Macaca sylvanus
9557,Papio hamadryas
9561,Mandrillus sphinx
9568,Mandrillus leucophaeus
9580,Hylobates lar
9581,Hylobates sp.
9590,Symphalangus syndactylus
95912,Hyaena hyaena
9593,Gorilla gorilla
9597,Pan paniscus
9598,Pan troglodytes
9600,Pongo pygmaeus
9601,Pongo abelii
9612,Canis lupus
9614,Canis latrans
9615,Canis lupus familiaris
9622,Lycaon pictus
9631,Vulpes velox
9644,Ursus arctos
9654,Procyon lotor
9659,Martes foina
9669,Mustela putorius furo
9678,Crocuta crocuta
9680,Proteles cristatus
9683,Felis silvestris
9685,Felis catus
9689,Panthera leo
9690,Panthera onca
9691,Panthera pardus
9694,Panthera tigris
9696,Puma concolor
9720,Phoca vitulina
97200,Cepaea hortensis
9733,Orcinus orca
9739,Tursiops truncatus
9755,Physeter catodon
9764,Eschrichtius robustus
9770,Balaenoptera physalus
9771,Balaenoptera musculus
9773,Megaptera novaeangliae
9783,Elephas maximus
9785,Loxodonta africana
9791,Equus zebra
9793,Equus asinus
9794,Equus hemionus
9796,Equus caballus
9805,Diceros bicornis
9807,Ceratotherium simum
9823,Sus scrofa
9825,Sus scrofa domesticus
9833,Hippopotamus amphibius
9838,Camelus dromedarius
9840,Lama guanicoe
9844,Lama glama
9860,Cervus elaphus
9861,Cervus canadensis canadensis
9870,Rangifer tarandus
9872,Odocoileus hemionus
9894,Giraffa camelopardalis
9901,Bison bison
99038,Glebionis coronaria
9909,Bos primigenius
9913,Bos taurus
9915,Bos indicus
9917,Boselaphus tragocamelus
9925,Capra hircus
9929,Damaliscus lunatus
9938,Ovis aries musimon
9940,Ovis aries
9943,Ovis dalli
9958,Oryx gazella
9970,Syncerus caffer
9983,Lepus europaeus
9986,Oryctolagus cuniculus
999462,Alces americanus
