Author,Name
824,Amy Nelson
825,Patsy A Gerstner
386,Mario A Di Gregorio
827,Robert W Carrubba
828,Marianne Sommer
829,Stephen G Brush
830,B J Norton
831,Scott Lidgard
448,Sally Gregory Kohlstedt
833,Paul D Brinkman
834,Marco Piccolino
835,Martin Amrein
179,Mark S Lesney
654,Georgina M Montgomery
838,Douglas R Weiner
839,Thomas F Glick
727,J T Edsall
728,Stephen R Munzer
841,Ilana LöWy
842,Olaf Breidbach
843,Brain W Ogilvie
